Baisley Park,Queens,29.360455779130838
Flushing Meadows-Corona Park,Queens,27.304845733617658
South Jamaica,Queens,26.294916239873483
Randalls Island,Manhattan,24.150989940227525
Astoria Park,Queens,21.706417112147523
Briarwood/Jamaica Hills,Queens,19.94506463178934
Springfield Gardens South,Queens,19.468309288781914
Jamaica,Queens,19.283943000137896
Corona,Queens,18.228769248155974
LaGuardia Airport,Queens,18.18133880837301
Jamaica Bay,Queens,17.100529446757896
Maspeth,Queens,17.005450640079538
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944445
JFK Airport,Queens,16.77772534824964
Battery Park,Manhattan,12.849780311142865
Morningside Heights,Manhattan,12.453698026584076
Battery Park City,Manhattan,12.448848404428599
Greenwich Village North,Manhattan,12.446949891694041
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.295411924133376
